rays, sec,   rec-ord
25137, 1.4, 0
25137, 2.9, 1
25146, 4.3, 0
25181, 8.0, 1
25251, 3.8, 0
25319, 4.1, 1
25412, 2.1, 0
25446, 5.6, 0
25493, 15.0, 1
25494, 18.0, 1
25506, 1.6, 0
25511, 3.7, 0
25557, 3.8, 0
25574, 3.4, 0
25582, 3.1, 0
25586, 6.0, 0
25593, 28.7, 1
25640, 1.8, 0
25668, 2.6, 1
25674, 1.6, 0
25677, 3.3, 0
25727, 8.4, 1
25731, 2.6, 0
25789, 5.3, 1
25798, 3.8, 0
25835, 2.7, 0
25853, 5.6, 1
25877, 2.5, 0
25886, 1.0, 0
25957, 3.0, 0
26059, 5.0, 0
26201, 5.0, 1
26343, 1.4, 0
26366, 6.0, 0
26399, 2.4, 0
26418, 1.6, 0
26500, 6.8, 1
26540, 3.4, 0
26559, 5.2, 1
26563, 8.9, 0
26585, 2.4, 0
26592, 4.1, 1
26621, 11.0, 0
26627, 2.8, 0
26656, 3.2, 0
26687, 5.0, 0
26697, 2.0, 0
26762, 3.4, 0
26780, 2.1, 0
26789, 3.1, 0
26795, 3.4, 0
26847, 5.9, 0
26847, 3.1, 0
26865, 4.0, 0
26882, 13.9, 1
26949, 5.1, 0
26953, 5.8, 0
26980, 14.2, 0
27043, 2.4, 0
27043, 1.6, 0
27058, 8.1, 1
27109, 4.8, 0
27132, 7.8, 1
27149, 34.9, 1
27153, 6.9, 0
27153, 5.4, 1
27158, 13.5, 0
27199, 5.2, 0
27214, 3.4, 0
27219, 2.6, 1
27242, 2.7, 0
27255, 8.5, 1
27278, 2.8, 0
27279, 5.1, 1
27312, 5.3, 0
27353, 4.0, 0
27431, 3.6, 0
27444, 6.6, 1
27483, 4.8, 0
27536, 3.2, 0
27566, 3.1, 0
27638, 2.4, 0
27652, 3.5, 0
27663, 1.3, 0
27694, 2.6, 1
27715, 6.9, 1
27733, 2.7, 0
27735, 1.9, 0
27827, 5.8, 0
27842, 3.8, 0
27864, 6.5, 0
27885, 7.8, 0
27888, 2.6, 0
27910, 4.7, 0
27917, 2.2, 0
27932, 7.2, 1
27999, 3.6, 0
28084, 4.6, 0
28098, 1.6, 0
28117, 1.7, 0
28161, 2.1, 0
28197, 4.8, 0
28206, 28.0, 1
28231, 2.9, 0
28251, 8.4, 0
28253, 3.2, 0
28320, 3.5, 0
28342, 8.7, 1
28371, 2.8, 0
28393, 2.8, 0
28410, 7.1, 0
28445, 2.6, 0
28474, 3.4, 0
28491, 6.1, 1
28515, 2.3, 1
28532, 22.2, 1
28540, 1.0, 0
28540, 2.7, 0
28599, 14.9, 0
28613, 1.6, 0
28621, 2.6, 0
28625, 6.0, 0
28661, 7.0, 1
28740, 7.3, 0
28749, 10.3, 0
28776, 2.6, 0
28778, 2.1, 1
28804, 2.7, 0
28861, 4.5, 0
28867, 6.1, 1
28895, 9.7, 1
28902, 2.7, 0
28924, 2.5, 0
28941, 2.3, 0
28960, 4.8, 0
28965, 3.9, 0
28985, 12.3, 1
28988, 2.2, 0
29001, 3.9, 0
29022, 3.6, 0
29025, 1.3, 0
29041, 6.2, 0
29056, 4.6, 0
29133, 2.9, 0
29141, 3.6, 0
29185, 3.8, 0
29202, 5.0, 0
29206, 3.0, 0
29239, 1.0, 0
29256, 6.7, 1
29277, 3.3, 1
29284, 19.6, 1
29309, 4.3, 0
29344, 1.6, 0
29353, 5.0, 0
29356, 6.2, 0
29368, 9.9, 0
29377, 3.4, 0
29385, 3.7, 0
29395, 3.6, 1
29423, 3.0, 1
29479, 2.2, 0
29538, 8.0, 1
29586, 2.6, 0
29605, 2.6, 1
29634, 15.3, 0
29634, 3.4, 0
29636, 2.7, 1
29641, 5.9, 1
29655, 2.8, 0
29682, 3.7, 0
29730, 7.5, 0
29739, 7.2, 0
29758, 11.4, 1
29792, 2.8, 0
29797, 3.0, 0
29805, 3.7, 1
29825, 4.4, 0
29889, 2.1, 0
29922, 4.0, 0
29966, 2.4, 0
29990, 4.1, 0
29994, 4.5, 0
30013, 3.1, 0
30013, 2.3, 1
30025, 6.4, 0
30036, 4.2, 0
30040, 3.3, 0
30132, 8.9, 1
30227, 11.2, 1
30231, 3.7, 0
30251, 6.0, 1
30271, 4.5, 0
30282, 3.8, 0
30285, 2.6, 0
30340, 2.1, 0
30340, 4.9, 0
30344, 12.5, 1
30360, 4.6, 0
30382, 2.1, 0
30386, 6.9, 0
30398, 11.3, 1
30499, 2.7, 0
30512, 3.8, 0
30563, 4.8, 0
30564, 8.5, 0
30581, 1.5, 0
30615, 3.8, 0
30631, 6.2, 0
30647, 1.3, 0
30648, 14.6, 0
30741, 2.8, 0
30745, 7.7, 1
30746, 1.5, 1
30790, 4.4, 1
30855, 2.2, 0
30863, 7.5, 0
30866, 4.8, 1
30955, 2.6, 1
31000, 4.5, 0
31045, 4.0, 0
31071, 28.9, 1
31123, 3.1, 0
31157, 4.7, 0
31160, 5.0, 1
31161, 18.8, 1
31197, 4.7, 1
31253, 9.1, 0
31288, 7.2, 0
31301, 2.5, 0
31302, 3.5, 0
31427, 10.9, 0
31441, 7.7, 0
31450, 6.4, 0
31455, 22.3, 0
31459, 3.9, 0
31470, 6.3, 0
31483, 3.5, 0
31506, 12.2, 0
31536, 8.0, 0
31561, 13.9, 0
31636, 2.6, 0
31657, 7.5, 0
31667, 3.5, 0
31709, 2.7, 0
31724, 4.2, 0
31822, 2.0, 0
31826, 10.5, 0
31864, 14.0, 0
31873, 2.3, 0
31890, 3.5, 0
31918, 7.2, 0
31922, 4.8, 0
31926, 3.9, 0
31946, 7.5, 0
31957, 5.0, 0
31961, 39.7, 0
32015, 13.0, 0
32032, 2.9, 1
32051, 2.0, 0
32111, 5.7, 0
32135, 4.5, 0
